;link;eng_name;rus_name;year;duration;country;genre;director_name;rating
67;https://www.kinopoisk.ru/film/575180/;Pirates of the Caribbean: Dead Men Tell No Tales;Пираты Карибского моря: Мертвецы не рассказывают сказки;2017;129;США;фэнтези;Хоаким Роннинг;
68;https://www.kinopoisk.ru/film/1283955/;Babylon;Вавилон;2022;188;США;драма;Дэмьен Шазелл;
69;https://www.kinopoisk.ru/film/5001435/;Shen bing te gong;Апгрейд. Цифровой солдат;2021;202;Китай;боевик;Тан Цяоцзя;
70;https://www.kinopoisk.ru/film/350/;Goodfellas;Славные парни;1990;140;США;драма;Мартин Скорсезе;8.1
71;https://www.kinopoisk.ru/film/690593/;Spider-Man: Homecoming;Человек-паук: Возвращение домой;2017;133;США;фантастика;Джон Уоттс;7.1
72;https://www.kinopoisk.ru/film/63912/;Il bisbetico domato;Укрощение строптивого;1980;107;Италия;мелодрама;Франко Кастеллано;8.4
73;https://www.kinopoisk.ru/film/493992/;Crazy, Stupid, Love.;Эта дурацкая любовь;2011;118;США;мелодрама;Гленн Фикарра;7.6
74;https://www.kinopoisk.ru/film/609349/;El cuerpo;Тело;2012;112;Испания;триллер;Ориол Паоло;7.3
75;https://www.kinopoisk.ru/film/939411/;Papillon;Мотылёк;2017;133;США;драма;Михаэль Ноер;7.5
76;https://www.kinopoisk.ru/film/721153/;Crimson Peak;Багровый пик;2015;120;США;ужасы;Гильермо дель Торо;
77;https://www.kinopoisk.ru/film/4484/;The Mummy;Мумия;1999;124;США;фэнтези;Стивен Соммерс;7.8
78;https://www.kinopoisk.ru/film/759874/;Tag;Ты водишь!;2018;100;США;боевик;Джефф Томсич;
79;https://www.kinopoisk.ru/film/1012421/;Happy Death Day;Счастливого дня смерти;2017;201;США;ужасы;Кристофер Лэндон;
80;https://www.kinopoisk.ru/film/252099/;;Изображая жертву;2006;200;Россия;комедия;Кирилл Серебренников;7.2
81;https://www.kinopoisk.ru/film/6803/;Children of Men;Дитя человеческое;2006;104;США;фантастика;Альфонсо Куарон;7.4
82;https://www.kinopoisk.ru/film/464282/;Due Date;Впритык;2010;201;США;комедия;Тодд Филлипс;7.2
83;https://www.kinopoisk.ru/film/761933/;I Origins;Я — начало;2014;108;США;фантастика;Майк Кэхилл;7.6
84;https://www.kinopoisk.ru/film/3608/;Eyes Wide Shut;С широко закрытыми глазами;1999;159;США;триллер;Стэнли Кубрик;7.5
85;https://www.kinopoisk.ru/film/662596/;About Time;Бойфренд из будущего;2013;123;Великобритания;фантастика;Ричард Кёртис;7.9
86;https://www.kinopoisk.ru/film/4295653/;The Guardians of the Galaxy Holiday Special;Стражи Галактики: Праздничный спецвыпуск;2022;202;США;фантастика;Джеймс Ганн;
87;https://www.kinopoisk.ru/film/2360/;The Lion King;Король Лев;1994;199;США;мультфильм;Роджер Аллерс;8.8
88;https://www.kinopoisk.ru/film/464484/;Cloud Atlas;Облачный атлас;2012;172;США;фантастика;Лана Вачовски;7.7
89;https://www.kinopoisk.ru/film/1245693/;Holidate;Пара на праздники;2020;104;США;мелодрама;Джон Уайтселл;
90;https://www.kinopoisk.ru/film/2717/;Kill Bill: Vol. 1;Убить Билла;2003;111;США;боевик;Квентин Тарантино;7.7
91;https://www.kinopoisk.ru/film/1045582/;;Вторжение;2019;129;Россия;фантастика;Фёдор Бондарчук;
92;https://www.kinopoisk.ru/film/382/;American History X;Американская история X;1998;119;США;драма;Тони Кэй;8.3
93;https://www.kinopoisk.ru/film/606826/;Non-Stop;Воздушный маршал;2014;106;Великобритания;детектив;Жауме Кольет-Серра;7.2
94;https://www.kinopoisk.ru/film/1309557/;Samaritan;Самаритянин;2022;102;США;фантастика;Джулиус Эйвери;
95;https://www.kinopoisk.ru/film/679830/;Avengers: Age of Ultron;Мстители: Эра Альтрона;2015;141;США;фантастика;Джосс Уидон;7.3
96;https://www.kinopoisk.ru/film/4291715/;Lightyear;Базз Лайтер;2022;100;США;мультфильм;Энгус МакЛэйн;
97;https://www.kinopoisk.ru/film/760815/;Nightcrawler;Стрингер;2013;118;США;триллер;Дэн Гилрой;7.4
98;https://www.kinopoisk.ru/film/410/;Donnie Darko;Донни Дарко;2001;113;США;фантастика;Ричард Келли;7.6
99;https://www.kinopoisk.ru/film/707/;Ice Age;Ледниковый период;2002;200;США;мультфильм;Крис Уэдж;8.0
100;https://www.kinopoisk.ru/film/775273/;Soul;Душа;2020;106;США;мультфильм;Пит Доктер;8.4
101;https://www.kinopoisk.ru/film/688/;Harry Potter and the Chamber of Secrets;Гарри Поттер и Тайная комната;2002;161;Великобритания;фэнтези;Крис Коламбус;8.1
102;https://www.kinopoisk.ru/film/4554192/;Werewolf by Night;Ночной оборотень;2022;202;США;ужасы;Майкл Джаккино;
103;https://www.kinopoisk.ru/film/493271/;Mortal Engines;Хроники хищных городов;2018;128;США;фантастика;Кристиан Риверс;
104;https://www.kinopoisk.ru/film/775517/;Criminal;Преступник;2015;113;США;фантастика;Ариэль Вромен;
105;https://www.kinopoisk.ru/film/714185/;The Adam Project;Проект «Адам»;2022;106;США;фантастика;Шон Леви;
106;https://www.kinopoisk.ru/film/1125892/;Nightmare Alley;Аллея кошмаров;2021;150;США;триллер;Гильермо дель Торо;7.1
107;https://www.kinopoisk.ru/film/4660300/;;Я буду жить;2022;116;Россия;комедия;Эдуард Бордуков;
108;https://www.kinopoisk.ru/film/377/;Se7en;Семь;1995;127;США;триллер;Дэвид Финчер;8.3
109;https://www.kinopoisk.ru/film/1382211/;Thirteen Lives;13 жизней;2022;147;Великобритания;триллер;Рон Ховард;7.7
110;https://www.kinopoisk.ru/film/78871/;Silent Hill;Сайлент Хилл;2006;125;Канада;ужасы;Кристоф Ган;7.2
111;https://www.kinopoisk.ru/film/195334/;The Prestige;Престиж;2006;125;Великобритания;триллер;Кристофер Нолан;8.5
112;https://www.kinopoisk.ru/film/4324950/;;Подельники;2022;109;Россия;драма;Евгений Григорьев;
113;https://www.kinopoisk.ru/film/462360/;Deadpool;Дэдпул;2016;108;США;фантастика;Тим Миллер;7.5
114;https://www.kinopoisk.ru/film/577/;28 Days Later...;28 дней спустя;2002;113;Великобритания;ужасы;Дэнни Бойл;7.5
115;https://www.kinopoisk.ru/film/1008477/;The Suicide Squad;Отряд самоубийц: Миссия навылет;2021;132;США;боевик;Джеймс Ганн;
116;https://www.kinopoisk.ru/film/5118247/;Patsanskaya istoriya;Пацанская история;2022;202;Казахстан;комедия;Нурсултан Джумабеков;
117;https://www.kinopoisk.ru/film/301/;The Matrix;Матрица;1999;136;США;фантастика;Лана Вачовски;8.5
118;https://www.kinopoisk.ru/film/1171976/;1917;1917;2019;119;США;военный;Сэм Мендес;7.9
119;https://www.kinopoisk.ru/film/1045449/;The Boss Baby: Family Business;Босс-молокосос 2;2021;107;США;мультфильм;Том МакГрат;7.3
120;https://www.kinopoisk.ru/film/944708/;Get Out;Прочь;2017;104;США;ужасы;Джордан Пил;7.1
121;https://www.kinopoisk.ru/film/501333/;The Big Short;Игра на понижение;2015;130;США;драма;Адам МакКей;7.4
122;https://www.kinopoisk.ru/film/1100425/;Morbius;Морбиус;2022;104;США;ужасы;Даниэль Эспиноса;
123;https://www.kinopoisk.ru/film/1045056/;The King's Man;King’s Man: Начало;2021;131;Великобритания;боевик;Мэттью Вон;
124;https://www.kinopoisk.ru/film/257898/;Shooter;Стрелок;2007;124;США;боевик;Антуан Фукуа;7.7
125;https://www.kinopoisk.ru/film/322/;Harry Potter and the Prisoner of Azkaban;Гарри Поттер и узник Азкабана;2004;142;Великобритания;фэнтези;Альфонсо Куарон;8.2
126;https://www.kinopoisk.ru/film/476/;Back to the Future;Назад в будущее;1985;116;США;фантастика;Роберт Земекис;8.6
127;https://www.kinopoisk.ru/film/1198811/;Eternals;Вечные;2021;156;США;фантастика;Хлоя Чжао;
128;https://www.kinopoisk.ru/film/817324/;Sicario;Убийца;2015;121;США;боевик;Дени Вильнёв;7.2
129;https://www.kinopoisk.ru/film/1298149/;365 dni;365 дней;2020;114;Польша;мелодрама;Барбара Бяловас;
130;https://www.kinopoisk.ru/film/1354524/;The Banshees of Inisherin;Банши Инишерина;2022;109;Ирландия;драма;Мартин МакДона;
